repository	head	seconds	commits	objects	blobs	findings	credential_assignment	credential_path	known_token_shape	private_key_header	high_entropy_credential	suspicious_path	large_blob	operational_absolute_path	value_exposed	disposition
Harness	8068159fd22ca590a2b7d9802a8378bcdfa207af	31.56	1615	11476	4993	2144	31	854	1	9	0	0	3	1246	false	sensitive-shape-findings-confined-to-synthetic-test-fixtures
Website	0bde9e7ec4712ea024cf11425ed92ad0d82363f0	23.65	460	8530	4745	399	3	116	0	0	0	0	16	264	false	assignment-shapes-confined-to-vendored-jquery-and-test-fixture
