# runtime|version|os|arch|format|url|sha256|root|node-version|npm-version
node|24.16.0|linux|x86_64|tar.gz|https://nodejs.org/download/release/v24.16.0/node-v24.16.0-linux-x64.tar.gz|2faf6a387e9b62b888e21c54f01249fb27537ffecf1842f29f4c919d0a59a0ff|node-v24.16.0-linux-x64|v24.16.0|11.13.0
node|24.16.0|linux|aarch64|tar.gz|https://nodejs.org/download/release/v24.16.0/node-v24.16.0-linux-arm64.tar.gz|589f5b6dd4fcfee4dfda73013903c966abaa8abd93dbc9d436544e472b4f0e74|node-v24.16.0-linux-arm64|v24.16.0|11.13.0
